"Supplemental Table 1: DogFiler multi-breed database (see Wictum et al. Developmental validation of DogFiler a novel multiplex for canine DNA profiling in forensic casework Forensic Sci. Int. Genet. (2012) http://dx.doi.org/10.1016/j.fsigen.2012.07.001)"																																		
	Breed	VGL0760		VGL0910		VGL1063		VGL1165		VGL1541		VGL1606		VGL1828		VGL2009		VGL2136		VGL2409		VGL2918		VGL3008		VGL3112		VGL3235		VGL3438				
22	Akita	21.2	23.2	17.1	19.1	13	13	15	26	15	17	16	19	19	22	13	15	9	9	17	17	13	17.3	13	18	12	16	13	18	16	16			
23	Akita	18.2	18.2	16.1	20.1	13	14	19	31	18	21	16	16	18	20	13	13	9	14	14	16	12	13	12	15	12	13	14	14	14	19			
24	Akita	14	23.2	17.1	18.1	13	14	19	20	18	20	16	19	18	19	12	13	14	14	14	18	17.3	18.3	17	17	13	13	14	17	14	14			
25	Akita	14	18.2	15.1	19.1	14	14	19	22	18	18	16	16	15	18	12	14	11	13	16	18	14	18.3	16	17	12	13	15	17	14	17			
26	Akita	12	14	18.1	18.1	13	14	19	20	18	18	16	19	18	20.3	12	13	14	14	14	18	17.3	17.3	17	17	12	16	14	14	15	15			
27	Akita	18.2	23.2	15.1	18.1	14	14	19	19	18	20	18	19	18	19.3	13	13	14	14	14	17	17.3	17.3	13	16	12	13	12	14	14	14			
28	Akita	14	18.2	15.1	15.1	8	14	19	19	18	20	18	19	18	19	12	16	13	13	14	14	18.3	18.3	17	17	12	12	14	17	12	14			
29	Akita	14	18.2	15.1	19.1	8	14	19	31	18	19	16	19	18	19	13	15	14	16	14	14	18.3	18.3	16	16	11	15	12	14	14	15			
30	Alaskan Husky 	12	12	18.1	19.1	13	13	17	19	16	18	17.1	20	20	21	11	13	12	16	16	17	13	23.3	15	18	12	12	13	14	14	17			
31	Alaskan Husky 	14	23.2	17.1	18.1	13	20	21	27	15	20	17	17	19	20	9	13	10	12	17	18	11	15	18	21	13	15	13	15	17	19			
32	Alaskan Husky 	12	22.2	18.1	21.1	8	14	17	19	18	22	16	17.1	16	20	11	11	12	16	16	17	15	22.3	12	15	12	13	14	15	17	19			
33	Alaskan Malamute	14	24.2	18.1	19.1	15	19	20	24	19	20	15	16	20	22	14	15	9	11	15	15	14	14	13	17	13	13	14	14	12	16			
34	Alaskan Malamute	14	20.2	13	21.1	13	13	20	20	17	19	16	16	18	19	10	14	10	14	17	18	13	14	17	19	12	13	16	18	17	17			
35	Alaskan Malamute	12	22.2	13	20.1	13	21	14	20	16	20	16	19	20	21	11	14	13	14	16	17	13	13	17	19	12	13	14	14	14	16			
36	Alaskan Malamute	21.2	22.2	16.1	18.1	13	19	18	20	16	18	18	19	19	20	14	15	13	15	15	20	13	13	10	15	11	15	13	14	12	14			
37	"American Eskimo Miniature "	22.2	22.2	19.1	20.1	8	13	26	27	18	20	15	15	19	22	13	14	9	12	13	13	14	14	17	17	15	15	14	18	14	14			
38	"American Eskimo Miniature "	22.2	24.2	19.1	19.1	8	14	21	28	17	19	17	18	19	19	14	14	12	12	14	14	17.3	20.3	18	21	13	15	18	18	12	15			
39	"American Eskimo Standard "	22.2	23.2	17	19.1	16	18	21	27	17	17	15	19	16	19	9	14	9	12	17	19	12	13	17	17	11	13	15	18	12	13			
40	"American Eskimo Standard "	18.2	21.2	21.1	21.1	12	18	18	27	19	19	18	19	19	19	13	13	13	13	16	18	13	16	19	21	13	13	17	18	13	14			
41	"American Eskimo Standard "	21.2	22.2	18.1	19.1	8	13	27	28	18	20	16	19	21	22	14	15	11	14	17	20	13	21.3	15	18	13	13	13	18	12	14			
42	"American Eskimo Standard "	18.2	21.2	19.1	19.1	8	14	21	21	19	19	18	19	20	20	12	14	9	12	14	18	14	19.3	17	20	13	14	13	15	14	16			
43	"American Eskimo Standard "	22.2	22.2	14.1	18.1	13	15	28	28	18	19	18	19	16	21	11	15	14	17	13	13	13	22.3	15	18	13	16	14	18	18	18			
44	"American Eskimo Standard "	20.2	24.2	18.1	18.1	8	15	21	21	19	20	16	17	15	19	14	15	9	13	17	17	13	18.3	17	18	15	16	15	15	14	17			
45	"American Eskimo Standard "	12	23.2	19.1	23.1	12	18	27	27	18	20	19	19	19	19	11	14	9	9	14	16	12	14	15	18	13	13	17	18	12	14			
46	"American Eskimo Standard "	21.2	22.2	18.1	18.1	13	18	21	27	19	19	15	21	19	19	11	13	9	12	14	14	14	19.3	18	21	12	13	16	16	14	15			
47	"American Eskimo Standard "	12	24.2	17.1	17.1	14	14	21	27	14	17	15	19	16	19	14	14	9	12	13	14	13	13	16	19	13	13	14	18	14	15			
48	"American Eskimo Standard "	21.2	23.2	19.1	20.1	13	14	21	21	17	18	15	19	19	19	11	13	12	12	14	14	13	13	16	18	12	13	14	16	14	15			
49	"American Eskimo Standard "	12	12	17.1	18.1	13	13	21	21	17	17	18	21	18	18	15	15	16	17	13	14	13	13	18	19	13	13	14	18	12	12			
50	"American Eskimo Standard "	12	20.2	17.1	21.1	13	20	21	21	17	17	14	18	19	19	14	14	14	17	14	16	13	13	18	19	13	13	13	18	12	12			
51	"American Eskimo Standard "	13	23.2	18.1	21.1	13	14	21	21	17	17	14	18	19	19	14	15	12	17	13	14	13	15	18	18	11	13	13	14	12	12			
52	"American Eskimo Standard "	22.2	23.2	18.1	21.1	13	18	21	21	17	20	14	17	19	19	13	15	12	16	14	14	14	15	17	18	13	13	13	15	12	14			
53	"American Eskimo Standard "	12	12	18.1	18.1	8	20	21	22	17	17	18	21	19	19	13	13	16	16	13	16	13	13	18	18	12	13	14	14	14	14			
54	"American Eskimo Standard "	12	12	21.1	21.1	13	15	14	22	17	20	18	18	19	19	13	13	14	14	13	13	13	14	18	19	12	12	14	18	12	12			
55	"American Eskimo Standard "	12	23.2	18.1	21.1	13	14	21	21	17	17	21	21	19	19	15	15	14	17	13	14	13	13	17	19	13	13	13	14	12	12			
56	"American Eskimo Standard "	13	20.2	20.1	22.1	14	14	14	21	15	19	17	19	19	19	13	14	9	9	14	18	13	14	15	21	13	13	14	18	13	14			
57	"American Eskimo Standard "	18.2	22.2	14	19.1	12	19	21	21	16	19	18	20	19	19	13	14	9	12	16	18	13	17.3	13	18	14	15	15	18	14	15			
58	American Foxhound 	23.2	23.2	18.1	19.1	12	12	30	30	18	18	14	14	15	16	14	15	9	15	15	16	13	14	10	17	13	16	12	13	12	16			
59	American Foxhound 	22.2	23.2	13	19.1	13	13	20	20	17	18	18	18	20	21	14	15	16	18	13	15	12	15	17	17	11	12	13	18	12	18			
60	American Hairless Terrier 	12	18.2	14	14	14	15	21	31	21	22	17	18	22	22	14	14	16	16	18	18	12	12	18	19	13	16	16	16	12	13			
61	American Pit Bull Terrier	14	24.2	19.1	21.1	8	12	27	27	20	20	19	21	17	20	10	13	13	15	13	13	12	14	15	18	13	16	17	18	15	16			
62	American Pit Bull Terrier	18.2	21.2	18.1	20.1	12	15	21	27	18	19	17	18	16	20	9	10	13	13	16	19	13	17.3	15	17	13	14	15	17	12	15			
63	American Pit Bull Terrier	20.2	21.2	19.1	19.1	9	18	20	29	16	20	17	21	16	16	9	9	13	15	15	16	15	18.3	16	18	12	13	14	15	13	19			
64	American Pit Bull Terrier	23.2	24.2	18.1	19.1	13	16	18	23	20	20	14	17	19	19	10	13	10	15	13	18	13	19.3	16	19	11	12	12	13	12	16			
65	American Pit Bull Terrier	14	20.2	17.1	21.1	10	18	21	27	19	21	14	17	19	20	10	13	13	15	13	18	13	20.3	13	16	11	13	13	20	18	20			
66	American Pit Bull Terrier	13	23.2	19.1	21.1	8	19	21	31	18	19	18	21	16	17	9	13	12	15	16	17	13	17.3	15	20	12	13	13	15	13	20			
67	American Pit Bull Terrier	13	14	13	18.1	10	17	21	30	19	20	19	25.3	16	17	13	14	8	15	17	17	13	18.3	18	19	12	16	13	13	14	20			
68	American Pit Bull Terrier	14	23.2	18.1	19.1	10	17	26	32	20	21	16	20	21	23	13	14	8	16	13	13	13	19.3	14	18	12	16	13	13	14	16			
69	American Pit Bull Terrier	21.2	25.2	13	19.1	10	13	17	21	17	20	16	19	17	17	13	14	14	16	16	17	15	17.3	15	20	14	16	13	13	12	20			
70	American Pit Bull Terrier	20.2	23.2	19.1	19.1	12	14	21	21	20	20	17	18	16	17	10	14	9	15	14	15	13	15	15	16	14	17	14	14	13	14			
71	American Pit Bull Terrier	14	19.2	17.1	18.1	10	19	25	27	19	20	14	21	15	20	13	13	12	17	13	15	13	13	18	20	12	16	17	18	12	17			
72	American Pit Bull Terrier	12	23.2	18.1	21.1	10	13	22	30	17	18	14	21	19	19	13	14	10	11	13	13	13	13	14	18	12	13	13	18	12	14			
73	American Pit Bull Terrier	14	23.2	15.1	19.1	10	17	22	30	19	19	19	20	16	19	13	14	9	10	17	20	13	13	17	18	11	12	13	13	13	21			
74	American Pit Bull Terrier	13	21.2	16.1	20.1	8	19	14	21	17	18	16	19	14	19	9	13	13	15	13	15	12	14	14	18	13	13	13	13	13	14			
75	American Pit Bull Terrier	14	19.2	13	16.1	14	20	15	26	16	22	16	20	14	19	9	10	13	15	15	16	14	19.3	18	19	11	13	14	18	12	14			
76	American Pit Bull Terrier	13	23.2	18.1	20.1	14	18	20	30	24	24	18	18	19	19	14	14	8	14	17	19	13	15	19	19	14	14	12	16	14	14			
77	American Pit Bull Terrier	23.2	23.2	18.1	20.1	10	10	30	30	18	18	14	19	15	15	9	14	8	8	16	16	16	16	18	19	13	13	13	17	14	14			
78	American Pit Bull Terrier	21.2	23.2	20.1	21.1	14	19	21	27	16	18	19	20	19	20	10	10	12	17	13	17	13	13	15	18	16	17	12	16	12	21			
79	American Pit Bull Terrier	13	22.2	19.1	19.1	10	18	20	22	19	20	18	19	17	20	14	14	10	10	16	16	13	15	19	19	11	16	15	17	12	14			
80	American Pit Bull Terrier	20.2	23.2	17.1	20.1	15	18	28	30	17	19	19	22	17	17	13	14	13	16	13	18	14	17.3	18	19	13	13	13	17	13	15			
81	American Pit Bull Terrier	14	22.2	19.1	19.1	10	20	22	26	17	18	18	19	17	18.3	13	13	15	15	15	18	12	15	15	18	16	16	17	18	17	21			
82	American Pit Bull Terrier	18.2	19.2	19.1	19.1	14	17	29	29	17	22	14	16	14	19	13	14	10	14	13	16	13	14	19	20	13	15	14	17	12	12			
83	American Pit Bull Terrier	19.2	23.2	19.1	21.1	8	18	21	27	17	20	17	20	20	21	13	13	8	10	13	16	13	18.3	15	19	13	16	12	15	13	14			
84	American Pit Bull Terrier	14	21.2	20.1	21.1	10	10	21	30	20	20	19	25.3	16	20	9	13	12	15	13	15	13	14	15	15	13	14	12	17	13	14			
85	American Pit Bull Terrier	23.2	24.2	18.1	19.1	8	13	20	26	18	20	14	21	17	20	10	15	8	12	13	16	13	13	15	18	11	16	13	14	13	14			
86	American Pit Bull Terrier	12	23.2	13	18.1	8	14	15	27	17	19	14	18	19	22	13	14	14	15	13	15	14	17.3	16	19	16	16	13	18	13	13			
87	American Pit Bull Terrier	22.2	22.2	18.1	18.1	14	14	29	29	17	17	18	21	20	21	13	13	14	14	15	17	13	13	15	15	16	16	14	17	12	12			
88	American Pit Bull Terrier	22.2	24.2	19.1	19.1	14	14	17	26	19	20	19	21	14	22	9	16	11	13	18	19	14	15	14	15	13	16	16	17	14	22			
89	American Pit Bull Terrier	19.2	23.2	19.1	20.1	16	17	18	21	19	24	19	21	16	19	13	15	10	14	14	20	13	13	15	20	11	15	12	14	12	14			
90	American Pit Bull Terrier	13	14	12	18.1	13	19	21	25	18	18	18	18	16	19	10	13	12	15	16	17	14	18.3	15	20	12	13	12	13	13	14			
91	American Pit Bull Terrier	13	23.2	18.1	19.1	8	10	15	21	19	19	17	20	15	19	11	13	8	13	13	18	13	23.3	18	19	15	16	17	20	17	19			
92	American Pit Bull Terrier	12	14	19.1	19.1	10	18	20	30	15	18	16	21	18	20	13	14	10	14	15	17	13	17.3	12	17	13	13	13	16	13	14			
93	American Pit Bull Terrier	14	23.2	17.1	18.1	10	10	22	30	18	20	18	19	17	19	13	13	10	12	17	17	13	13	19	20	13	14	13	16	13	14			
94	American Pit Bull Terrier	23.2	24.2	15.1	19.1	8	11	25	27	18	20	17	18	20	20	14	15	10	16	14	14	13	20.3	20	20	13	13	12	16	16	21			
95	American Pit Bull Terrier	14	23.2	18.1	20.1	13	14	26	30	19	19	18	19	19	20	13	14	9	9	14	16	13	14	17	18	12	13	18	19	12	13			
96	American Pit Bull Terrier	13	14	15.1	20	14	20	25	27	18	20	20	20	19	20	10	14	9	10	13	16	14	20.3	19	19	12	13	15	15	14	15			
97	American Pit Bull Terrier	23.2	26.2	13	17.1	10	12	27	30	16	21	17	19	17	17	10	13	9	16	16	19	13	15	19	20	12	16	13	17	13	16			
